feature,gain_importance,mean_abs_shap
decision_maker_involvement,0.28617364,4.1904078
budget_status,0.12205671,5.6568956
meeting_outcome,0.110962294,2.7138834
risk_factors_No Risk Identified,0.08044738,2.2670226
buying_intent,0.06761286,1.9396167
num_objections,0.039461605,1.3412027
implementation_readiness,0.03339656,2.1810453
product_interest_level,0.032067217,1.6782806
customer_sentiment,0.03118437,1.1279937
competitor_mention,0.019580401,1.4653708
objection_long_implementation_time,0.016561301,0.44205657
relationship_strength,0.012946876,1.0804281
lead_score,0.012008692,1.0014592
customer_requirements_Compliance-driven Requirements,0.011046244,0.48780632
customer_requirements_Multi-department Rollout,0.009735406,0.471254
upsell_opportunity,0.008827363,0.771308
customer_requirements_Basic Feature Set,0.008399203,0.47028953
customer_urgency,0.008193155,0.6811306
customer_requirements_Standard Package,0.0069465316,0.47195548
total_meetings,0.0066372855,1.3394083
engagement_score,0.0065759732,1.388957
customer_requirements_Scalable Infrastructure,0.0053717745,0.28603402
customer_requirements_Customized Integration,0.004929197,0.3428879
customer_requirements_Enterprise-grade Security,0.0048922836,0.29523656
customer_requirements_API / Technical Integration,0.0046977713,0.1847272
risk_factors_Competitor Pressure,0.0042169415,0.13910395
risk_factors_Internal Politics,0.0038936322,0.10231388
objection_no_urgent_business_need,0.0037294377,0.052517787
risk_factors_Technical Concerns,0.0034912622,0.02334652
objection_competitor_preference,0.003469761,0.055517998
objection_security_compliance_concerns,0.0033916673,0.076230906
objection_price_too_high,0.003370082,0.21586151
objection_poor_past_experience_support,0.0031905444,0.08107372
risk_factors_Economic Uncertainty,0.0029825133,0.017339561
objection_lack_of_internal_buy_in,0.0029722392,0.04527232
objection_budget_not_allocated,0.002865568,0.012586081
objection_missing_features,0.0028117397,0.020629425
risk_factors_Stakeholder Turnover,0.0026968126,0.034833536
objection_unfavorable_contract_terms,0.0026276603,0.0056439
risk_factors_Budget Constraints,0.0020542014,0.0034258799
risk_factors_Timeline Conflict,0.0015239066,0.005496197
