,abs_correlation,mutual_information,xgb_gain_importance,consensus_rank
decision_maker_involvement,0.6372602672641574,0.2716246951860508,0.39277512,1.0
budget_status,0.6068087869986108,0.24873397406066466,0.11731721,2.0
meeting_outcome,0.5635780516681237,0.23149922054520466,0.087575346,3.0
customer_sentiment,0.47175069258886143,0.13941238565903324,0.024340086,5.666666666666667
risk_factors_No Risk Identified,0.41649938617564963,0.08111820548164528,0.070193544,6.333333333333333
relationship_strength,0.47653151769120894,0.13814666367012007,0.010765061,7.0
num_objections,0.4092940517701533,0.13182396409249098,0.026753815,7.0
buying_intent,0.34954483544318116,0.05204953511594734,0.06789397,9.0
lead_score,0.46122733121630854,0.1053138032478036,0.008896318,9.0
implementation_readiness,0.28278401354250876,0.05522936730475703,0.027554575,9.666666666666666
product_interest_level,0.3248417109042216,0.07345362186152427,0.019886239,9.666666666666666
engagement_score,0.3158454022291811,0.06062241163371995,0.00443257,14.333333333333334
objection_long_implementation_time,0.21706272130981155,0.00993248032316596,0.015285981,16.0
competitor_mention,0.170037248208969,0.004410041115655794,0.022083946,17.0
objection_budget_not_allocated,0.2510181325398895,0.05301622452223942,0.003630621,17.0
upsell_opportunity,0.1534610652764913,0.04089867966559857,0.006314076,18.0
customer_requirements_Compliance-driven Requirements,0.09746991500373105,0.045198489054870006,0.008815143,18.333333333333332
customer_urgency,0.11049951961620316,0.021427830651107094,0.008980383,18.666666666666668
risk_factors_Internal Politics,0.20595480351624768,0.043089333450531786,0.0034757548,19.0
customer_requirements_Multi-department Rollout,0.09106654222734427,0.014869596223442194,0.007745635,21.666666666666668
risk_factors_Stakeholder Turnover,0.20347770526384415,0.018604924314697513,0.0023203606,23.333333333333332
customer_requirements_Basic Feature Set,0.058181294716584904,0.010000189407719962,0.0063724876,24.333333333333332
objection_lack_of_internal_buy_in,0.14627012821291216,0.026585923192408822,0.0018809289,25.0
total_meetings,0.13318673354349275,0.0,0.003984311,26.5
objection_missing_features,0.1577879449767556,0.0,0.003451628,26.833333333333332
objection_price_too_high,0.1685767357091133,0.0,0.0026372855,27.5
risk_factors_Economic Uncertainty,0.05776552872577682,0.021231411664290212,0.0028952146,28.0
customer_requirements_Standard Package,0.08043532746007548,0.0,0.0053730793,28.166666666666668
risk_factors_Technical Concerns,0.0809791224401807,0.0,0.0046333773,28.166666666666668
risk_factors_Competitor Pressure,0.11147228168549846,0.0,0.0029218034,28.833333333333332
customer_requirements_Customized Integration,0.03952047431678341,0.0,0.005985344,30.5
customer_requirements_API / Technical Integration,0.07980861773932306,0.0,0.0037671307,30.5
customer_requirements_Scalable Infrastructure,0.04778158377978707,0.0,0.0040506935,31.5
risk_factors_Budget Constraints,0.12919740116748382,0.0,0.0010380424,32.5
objection_competitor_preference,0.08552122239574556,0.0,0.0019092085,32.833333333333336
risk_factors_Timeline Conflict,0.09287147677777856,0.0,0.0016030584,33.166666666666664
objection_no_urgent_business_need,0.08006358103646362,0.0,0.0021905876,33.5
customer_requirements_Enterprise-grade Security,0.05702768722992616,0.0,0.0026053009,33.833333333333336
objection_poor_past_experience_support,0.01711213470163379,0.007695220434971839,0.0017264189,34.333333333333336
objection_unfavorable_contract_terms,0.03269393941020354,0.0,0.0024810506,35.5
objection_security_compliance_concerns,0.05116815717096375,0.0,0.0014573372,36.833333333333336
