,total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,product_interest_level,meeting_outcome,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,objection_budget_not_allocated,objection_competitor_preference,objection_lack_of_internal_buy_in,objection_long_implementation_time,objection_missing_features,objection_no_urgent_business_need,objection_poor_past_experience_support,objection_price_too_high,objection_security_compliance_concerns,objection_unfavorable_contract_terms,num_objections,customer_requirements_API / Technical Integration,customer_requirements_Basic Feature Set,customer_requirements_Compliance-driven Requirements,customer_requirements_Customized Integration,customer_requirements_Enterprise-grade Security,customer_requirements_Multi-department Rollout,customer_requirements_Scalable Infrastructure,customer_requirements_Standard Package,risk_factors_Budget Constraints,risk_factors_Competitor Pressure,risk_factors_Economic Uncertainty,risk_factors_Internal Politics,risk_factors_No Risk Identified,risk_factors_Stakeholder Turnover,risk_factors_Technical Concerns,risk_factors_Timeline Conflict
total_meetings,1.0,0.05707178228073297,0.15554935139352588,0.010631714228958308,0.1899585212647835,0.03740102127754024,0.18675550179463274,0.09254898239362222,-0.044031592151132594,0.368036482276238,-0.04433794330022651,0.35899354972231146,0.038015731558361146,-0.0038490931155224966,0.13318673354349275,-0.06796121971448597,0.04921325960518241,-0.043726364203225336,-0.04696929268795816,0.042369172289546404,-0.030987740167821656,0.011745068372875622,0.0015319278299055891,-0.010358753344538256,0.046750856447737216,-0.019225347652980455,-0.045796470161580616,0.00421599715486785,-0.03361772023723152,0.004682067411440621,0.032597661765479576,-0.006053754826952389,0.051496454434759184,-0.0035886101157649153,0.013736590998904324,-0.0321138978517139,0.0017784491094526636,-0.00030553543247258656,-0.008520668979347534,-0.018500992608479642,0.03230881516525868,0.0431001101907968
lead_score,0.05707178228073297,1.0,0.19362533119041955,0.1954940415679113,0.17731747640726078,0.352927820224335,0.25388116408815165,-0.001663410884146745,0.30963560832347453,0.2965495997119088,-0.007696899891093586,0.08432165793172636,0.053599415291220406,0.1417765077770299,0.46122733121630854,-0.13183766226104413,-0.000643726012716199,-0.08074612530394513,-0.01927173362337563,-0.14863768866902638,-0.03119232787672805,-0.013360872217043362,-0.062091486750944634,-0.027042591248825427,0.005374981028710662,-0.1727364182089664,0.0322163437441366,0.018056448239547013,0.017349996713319694,-0.011035848172516106,-0.0746856280921419,0.01307792422547447,0.03363545590974036,-0.025049255243958027,-0.07041892934223823,-0.04325975485464999,-0.025314650549161957,-0.09538714272381237,0.18336272558550523,-0.08766762123208774,-0.03898954402065147,-0.007645203848532835
customer_sentiment,0.15554935139352588,0.19362533119041955,1.0,0.05168344619739979,0.615416214292954,0.11996706299417104,0.5809327966024048,0.032944939641940604,0.04143753387346263,0.5391715644369903,-0.020127454468969123,0.26571251551728753,0.046671160682014726,0.024743617418196227,0.47175069258886143,-0.08382310153211849,-0.0004574758325089279,-0.10347142861337437,-0.04099700416297048,0.012804948339961084,-0.044003891155153685,-0.013606187632840024,-0.03723843955475838,0.028220561655469784,-0.06890671767943311,-0.10857697578494535,0.017929453477767827,-0.015367686356674763,-0.028210659695251116,-0.0002791051645711443,0.00988321663184106,0.028830837692119676,-0.027764582728130757,0.01157047527934729,-0.0002939464806303222,-0.05831818161503125,-0.04806602320124272,-0.1322049133649147,0.17504425420694025,-0.08268449323033804,0.010480299319914343,-0.07091836937228654
buying_intent,0.010631714228958308,0.1954940415679113,0.05168344619739979,1.0,0.0372120294888409,0.05308126577324161,0.0611985914229626,0.38351337654399387,0.514856879861581,0.24390581071006773,-0.04755516344125701,0.07823567088000541,0.09052371245700147,0.24191744265415568,0.34954483544318116,0.014793808518172462,-0.007594974738592401,6.000779315036841e-17,-0.025662799380518884,-0.20831617814515166,-0.09013052165848336,0.005762468524852607,0.026151835712037507,-0.03528508486001853,-0.01496629196456976,-0.11507949923291687,0.043433354600534074,0.006940506466073355,-0.0327747351485394,-0.02286355326522667,0.018795857687260487,-0.015929416515636896,0.01682036321429868,-0.018262477503464578,-0.04097077380792279,-0.03490746594148196,0.01131534092255671,-0.01586489031206128,0.07072892790499066,-0.05906716444963557,-0.024233013246497494,0.033261847900780274
relationship_strength,0.1899585212647835,0.17731747640726078,0.615416214292954,0.0372120294888409,1.0,0.1375174061992069,0.5633853503555597,-2.978176957644154e-17,0.02884492833792845,0.5027304400439299,-0.013984316154743711,0.2967757982437078,0.04750340797890198,0.03461903217817583,0.47653151769120894,-0.11801860396940761,-0.014357683075131562,-0.10701906675685996,-0.04705803540073765,-0.0068915843624306064,-0.04522932224545683,-0.00871478309360004,-0.09294329342630021,0.01133960995699616,-0.0211251113041664,-0.1483032408984552,0.02408478756470825,-0.04146066606615682,0.004337058297509543,-0.017288676423661515,-0.005685126854791451,-0.00361359222551944,0.013354962994833002,0.029276123813695997,-0.007573076748665346,-0.03431465964020472,-0.010837971525302694,-0.12796282452177585,0.16388694210427232,-0.11761696799756481,-0.019240428463825236,-0.03521214076019997
budget_status,0.03740102127754024,0.352927820224335,0.11996706299417104,0.05308126577324161,0.1375174061992069,1.0,0.3159213727710886,0.009046833544415017,0.039267683398766365,0.15267936875673976,-0.02711786792645401,0.07838435701164093,0.05733183231555805,0.03543534028373669,0.6068087869986108,-0.3770289844404083,0.011807500286187232,-0.023164474493021187,-0.0527714399674056,-0.046359320255164496,-0.03977340966117782,0.009696368207901195,-0.201658014500351,-0.00027750596783775964,0.018132063961490662,-0.24644063753098375,0.05465432276636547,-0.027850980662975217,-0.012798226017575666,0.01902410307021388,-0.009548706772237093,-0.04454133683848337,0.01899392418193941,0.0009673217587886532,-0.16533074546525156,-0.04310004189449284,-0.013515678923777603,-0.13711413523753987,0.2856665727487761,-0.14829411472405202,-0.016975356318186533,-0.0767504196865456
decision_maker_involvement,0.18675550179463274,0.25388116408815165,0.5809327966024048,0.0611985914229626,0.5633853503555597,0.3159213727710886,1.0,0.0002690386532135323,0.0398014617185685,0.4652037660000112,-0.042343503738370356,0.25585720222824254,0.0823814481087586,0.017960142656873866,0.6372602672641574,-0.14001881339668729,0.0009445010039658,-0.20036470159902567,-0.07398284372330564,0.00027201220343859656,-0.03256582316999014,0.0005732903657349796,-0.09054146148610599,-0.010452231343443632,0.0020646781717113183,-0.17971130620779954,0.03485648277336308,-0.016882474553879357,-0.04886911386835815,0.01625598647453398,-0.03315033857353694,-0.0010142521087477363,0.021913257875225748,0.02468773854387573,-0.02334221948777808,-0.09181023421185885,0.015662638005284068,-0.18035272538065178,0.2336806150251323,-0.20400941925629842,0.019829392239422226,-0.038540211745003834
customer_urgency,0.09254898239362222,-0.001663410884146745,0.032944939641940604,0.38351337654399387,-2.978176957644154e-17,0.009046833544415017,0.0002690386532135323,1.0,0.08166098503578015,0.04808727425944642,-0.0431344615393375,0.01103439420401855,0.045370964712589563,0.039125213771942,0.11049951961620316,0.0022193505601891084,-0.008138497080437268,-0.03283218856361449,-0.013974652904501903,-0.01628520513366554,-0.24121196837937117,0.006736200502872363,0.000509515462325138,-0.005465293425769083,0.03467951323544958,-0.08658285927181822,0.024258042856899392,-0.048815029251378456,0.0014367357481233428,-0.022094317523778526,0.08003648714860996,-0.020855678820621712,0.020678542159107038,-0.02980242141337661,-0.020328318622518795,-0.03713352301006654,-0.009905843667864015,0.01401231578933844,0.026713701672803413,-0.021865273426669392,0.038006553507142674,-0.017540272519838175
product_interest_level,-0.044031592151132594,0.30963560832347453,0.04143753387346263,0.514856879861581,0.02884492833792845,0.039267683398766365,0.0398014617185685,0.08166098503578015,1.0,0.28727119086815067,-0.05051809314569987,0.05449990337624755,0.0521956617206758,0.283387889594382,0.3248417109042216,0.008683940078317798,-0.06162649976790089,0.01684794267472196,-0.027498379008680143,-0.256177260140319,7.598227879215849e-05,0.018168563794111733,0.02158367042251826,-0.013268295636146047,-0.020947514106813902,-0.11568509529217216,0.02067549684025641,0.03160135976483539,0.009193855733849112,-0.006728101495333361,-0.00658153580936338,-0.0012999170951131125,-0.015613582484959584,-0.03472413228091905,-0.03405890344922747,-0.022681036359034713,-0.016411093016438304,-0.006669416540917623,0.07545531719586897,-0.04619324843937476,-0.03719105795370021,0.02932295639837381
meeting_outcome,0.368036482276238,0.2965495997119088,0.5391715644369903,0.24390581071006773,0.5027304400439299,0.15267936875673976,0.4652037660000112,0.04808727425944642,0.28727119086815067,1.0,-0.054971945103320985,0.4337491682412675,0.041284774183831675,0.13459142420923492,0.5635780516681237,-0.09782050792903724,0.01598305650480413,-0.09282415303946791,-0.015189530791894305,-0.09046172625810542,-0.028942686313841854,-0.026229568753400285,-0.002609046899374945,-0.01648457071157807,-0.027771981294158556,-0.12125985732365953,0.04640074588871545,-0.014346118699117432,0.009375080209337998,-0.00024710727905763355,-0.015676464818522674,-0.020739108631119076,-0.00905643835745482,0.0022728980437700707,-0.0343971396127013,-0.09125020590281482,-0.003626523419298216,-0.10802379639821535,0.15319407318356307,-0.08354351073268396,0.020511951544854,-0.026948008601041698
