total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,product_interest_level,meeting_outcome,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,objection_budget_not_allocated,objection_competitor_preference,objection_lack_of_internal_buy_in,objection_long_implementation_time,objection_missing_features,objection_no_urgent_business_need,objection_poor_past_experience_support,objection_price_too_high,objection_security_compliance_concerns,objection_unfavorable_contract_terms,num_objections,customer_requirements_API / Technical Integration,customer_requirements_Basic Feature Set,customer_requirements_Compliance-driven Requirements,customer_requirements_Customized Integration,customer_requirements_Enterprise-grade Security,customer_requirements_Multi-department Rollout,customer_requirements_Scalable Infrastructure,customer_requirements_Standard Package,risk_factors_Budget Constraints,risk_factors_Competitor Pressure,risk_factors_Economic Uncertainty,risk_factors_Internal Politics,risk_factors_No Risk Identified,risk_factors_Stakeholder Turnover,risk_factors_Technical Concerns,risk_factors_Timeline Conflict
6,25.9,1,2,8,0,2,1,3,3,1,0.9443298969072164,3,0,45,1,1,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,6.7,2,1,5,2,1,1,1,0,0,0.16494845360824742,0,0,38,0,0,1,1,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,86.0,2,2,10,3,1,2,4,2,0,0.781443298969072,1,1,67,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,74.0,1,1,3,2,1,1,2,2,0,0.1670103092783505,1,0,44,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,79.7,0,1,8,3,2,1,3,2,0,0.3628865979381444,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,4.0,1,1,7,1,1,3,1,1,1,0.08247422680412371,2,0,27,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13,62.0,1,3,2,1,0,2,4,3,1,0.9762886597938144,3,1,42,1,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,4.7,1,1,3,1,0,2,1,1,0,0.31443298969072164,2,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,83.1,2,3,4,2,2,2,4,2,0,0.8381443298969071,2,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,72.6,2,3,3,1,1,2,4,4,1,0.7237113402061855,2,0,43,1,1,0,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,13.8,2,2,7,2,1,2,3,3,0,0.6670103092783505,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
